indiv	node	x	y
26	130	9.808519896452232	53.21697703091582
26	131	9.808519896452232	53.21697703091582
27	76	65.18127889577659	2.594997291356525
27	77	65.18127889577659	2.594997291356525
28	4	90.67150049450757	58.52088205873992
28	5	90.67150049450757	58.52088205873992
29	134	39.51706432334932	23.32398482516796
29	135	39.51706432334932	23.32398482516796
30	146	40.4531920223268	24.483833069982797
30	147	40.4531920223268	24.483833069982797
31	60	27.166099708912686	59.72699640604391
31	61	27.166099708912686	59.72699640604391
32	78	47.109373304029766	75.85808706383031
32	79	47.109373304029766	75.85808706383031
33	132	74.22978855552618	80.67823872010123
33	133	74.22978855552618	80.67823872010123
34	142	3.7749885762032167	74.94128929129668
34	143	3.7749885762032167	74.94128929129668
35	8	2.573869089848926	86.29901232898146
35	9	2.573869089848926	86.29901232898146
36	56	84.00676349011107	22.0244428844513
36	57	84.00676349011107	22.0244428844513
37	24	68.22496693221682	1.3906673560040432
37	25	68.22496693221682	1.3906673560040432
38	144	73.30839538993233	28.064644224096078
38	145	73.30839538993233	28.064644224096078
39	124	14.300191283756387	11.242025519384741
39	125	14.300191283756387	11.242025519384741
40	102	31.257025102752873	75.94142227856524
40	103	31.257025102752873	75.94142227856524
41	126	58.37319928390069	43.03162741364125
41	127	58.37319928390069	43.03162741364125
42	10	89.86088010390355	38.31159891016428
42	11	89.86088010390355	38.31159891016428
43	6	4.355403046300079	3.576860885255701
43	7	4.355403046300079	3.576860885255701
44	80	12.030530501345172	85.14865075825696
44	81	12.030530501345172	85.14865075825696
45	96	1.910843949922559	29.823976024695845
45	97	1.910843949922559	29.823976024695845
46	152	6.085782168510084	9.479829125316925
46	153	6.085782168510084	9.479829125316925
47	154	80.05226112597705	77.61363525007188
47	155	80.05226112597705	77.61363525007188
48	122	86.7229592002928	5.117877379675104
48	123	86.7229592002928	5.117877379675104
49	98	75.2432971464275	92.27715518318877
49	99	75.2432971464275	92.27715518318877
50	32	0.5329796926852186	60.48197131874376
50	33	0.5329796926852186	60.48197131874376
51	58	14.833507626586373	76.88715040692948
51	59	14.833507626586373	76.88715040692948
52	120	96.19635853441139	30.875307928818874
52	121	96.19635853441139	30.875307928818874
53	100	1.9404897528463319	64.1875545200895
53	101	1.9404897528463319	64.1875545200895
54	128	65.4251019973406	77.77242996572848
54	129	65.4251019973406	77.77242996572848
55	106	56.24822014912328	75.32507048293887
55	107	56.24822014912328	75.32507048293887
56	64	10.752600062371824	18.795885187546887
56	65	10.752600062371824	18.795885187546887
57	52	14.034744441348515	19.827957675912806
57	53	14.034744441348515	19.827957675912806
58	34	22.263542428494855	22.846388766648467
58	35	22.263542428494855	22.846388766648467
59	140	61.70401245612963	22.36717992337929
59	141	61.70401245612963	22.36717992337929
60	94	79.6929193136321	87.63305304444845
60	95	79.6929193136321	87.63305304444845
61	86	52.91803991474509	45.71357624613353
61	87	52.91803991474509	45.71357624613353
62	20	66.13467382410751	82.99089222688612
62	21	66.13467382410751	82.99089222688612
63	90	56.563434524743386	89.08705016339754
63	91	56.563434524743386	89.08705016339754
64	28	56.26734949085282	53.893676971623115
64	29	56.26734949085282	53.893676971623115
65	148	9.791668184909334	4.750660842916961
65	149	9.791668184909334	4.750660842916961
66	118	3.3250149586700726	55.17053026180349
66	119	3.3250149586700726	55.17053026180349
67	26	59.576714197527835	65.36631876136148
67	27	59.576714197527835	65.36631876136148
68	48	81.4714623506903	16.893825738165322
68	49	81.4714623506903	16.893825738165322
69	36	9.925673298221142	85.2963205730614
69	37	9.925673298221142	85.2963205730614
70	46	72.46268467850373	78.4680663240799
