tree_index	tree_position	node	x	y	span
0	0	3894	61.52550495745724	72.67507640320987	5055.0
1	75	3966	36.92114340735885	31.581971822053188	12358.0
2	150	3685	81.52048433609647	37.50055447981217	12267.0
3	225	3847	19.80183684824141	32.80683474514739	284.0
4	300	3289	62.86092891436532	37.69831307753966	3511.0
5	375	3658	68.55380407301439	38.002796068266896	27216.0
6	450	3808	55.54879523769737	49.65425982619535	14244.0
7	525	4083	8.650233307974117	81.97220386941544	2518.0
8	600	3399	37.38856028824889	75.30590056136086	10237.0
9	675	3148	68.27411695259623	52.12621373314914	1241.0
10	750	3824	33.099369179471374	43.19415522753374	260.0
11	825	3477	75.59735293608674	46.56239596202707	2020.0
12	900	4278	59.198061337325434	15.665874654065023	25754.0
13	975	4325	40.757551112401536	22.892812934371303	64.0
14	1050	3854	3.6704170962773706	42.76314024796987	26133.0
15	1125	4245	34.027449362962116	65.22889080331525	1973.0
16	1200	3596	75.189676892494	2.8031777145822714	3938.0
17	1275	3962	20.601942262591823	43.659827879627	7031.0
18	1350	3932	8.56590476621802	14.425009936270843	5013.0
19	1425	3351	47.59514258415995	65.43037413747864	6052.0
20	1500	3985	87.6269110079968	28.000733595712163	20176.0
21	1575	4096	6.636296027261615	78.90551993763663	2695.0
22	1650	4082	21.99222768633564	57.14347519894074	27548.0
23	1725	3728	17.969000876836954	13.704943248668172	23985.0
24	1800	3681	24.2845172501245	53.53570385982253	13491.0
25	1875	4050	10.649797899685959	40.879044863874114	20438.0
26	1950	3853	18.94301643051952	30.04661624313746	3029.0
27	2025	4291	59.0791113983966	71.35981375122904	2391.0
28	2100	4305	40.757551112401536	22.892812934371303	7180.0
29	2175	4142	60.83135368663217	66.85422300738718	196.0
30	2250	4452	40.757551112401536	22.892812934371303	621.0
31	2325	4428	40.757551112401536	22.892812934371303	4306.0
32	2400	3946	42.34103585792874	35.4866821127775	1087.0
33	2475	4273	49.35289776776697	54.34732649049158	13747.0
34	2550	4148	87.67502139620589	90.68184716314356	20714.0
35	2625	3724	48.14497911564409	72.51720266282283	48099.0
36	2700	3832	38.76365128134509	12.05886041077354	13489.0
37	2775	3888	79.04830433579198	29.4594175313006	4581.0
38	2850	4383	40.757551112401536	22.892812934371303	10463.0
39	2925	3720	72.22304961679019	6.44326981427894	1314.0
40	3000	3421	30.672395155577814	89.13543276542026	42186.0
41	3075	3849	26.346412264525934	58.12662949082735	17818.0
42	3150	4216	89.31542685983234	57.77664542512606	13372.0
43	3225	4216	89.31542685983234	57.77664542512606	25612.0
44	3300	4250	84.69246239761388	62.289872734577614	4307.0
45	3375	4175	12.75680500240311	53.08284443792342	10231.0
46	3450	4008	44.993184559073114	73.03664599056285	14774.0
47	3525	4168	65.44536005204374	51.61245979865182	3981.0
48	3600	3719	88.38268851764701	74.3373110739905	11181.0
49	3675	3799	24.303623449363105	33.540678522439414	22309.0
50	3750	3892	58.941370679667344	39.66593020785137	7552.0
51	3825	4080	39.543447935383575	94.82150900504956	244.0
52	3900	4329	40.757551112401536	22.892812934371303	32507.0
53	3975	3879	47.51587300875544	28.00449740684736	25645.0
54	4050	4071	60.27820465157818	19.168383880751676	1750.0
55	4125	3852	63.61417996803224	20.47052437766209	25153.0
56	4200	3626	6.538114264233059	39.773750095119965	28596.0
57	4275	4274	24.954515071562504	61.059501154798426	40853.0
58	4350	4095	39.59826034299298	73.44748566017054	20755.0
59	4425	3874	43.179007645979134	34.11861551067946	6429.0
60	4500	3867	30.588422348434197	23.52156714897221	10486.0
61	4575	4495	40.757551112401536	22.892812934371303	24768.0
62	4650	4051	78.94251509520112	79.18747096158607	5285.0
63	4725	3918	41.698669559837164	76.95873483427982	5582.0
64	4800	4371	40.757551112401536	22.892812934371303	2920.0
65	4875	3795	63.23666361103854	50.49611708485868	16430.0
66	4950	4199	73.44785991396657	62.52719393748693	228.0
67	5025	4196	75.96504264969887	48.084098818375914	11053.0
68	5100	3649	80.0382401723436	13.239398414516426	31165.0
69	5175	4191	15.748495386165217	55.48880018399229	18126.0
70	5250	3924	87.00885559910957	23.898231507400027	4769.0
71	5325	3144	80.0195658549065	92.10868794973624	51685.0
72	5400	4144	60.751279694238264	72.37620310372529	41411.0
73	5475	3713	39.28429588460113	73.91841566651951	9962.0
74	5550	3731	43.995927350460384	61.95115478879185	13208.0
75	5625	4259	31.50712779856171	69.56629601685106	5248.0
76	5700	3558	80.23687151076112	13.998382882477017	1015.0
77	5775	4236	77.4018519416246	53.117930252584024	34657.0
78	5850	3936	44.39145817294157	50.44278578097163	15399.0
79	5925	3675	84.98563859823437	11.839332674214596	3166.0
80	6000	3858	80.03724804669616	28.256125484499908	20222.0
81	6075	3989	74.83619007902398	58.7753629441776	1957.0
82	6150	3529	22.227751420428874	62.070765220209616	7498.0
83	6225	3705	75.75132246532594	87.88576494091095	4291.0
84	6300	4086	54.531690457682735	46.47442389109798	21181.0
85	6375	3355	71.00340207265181	86.50129712620112	7486.0
86	6450	4296	63.953202190484895	20.587891555315945	13830.0
